Model,MAE,RMSE,RMSSE
Random Forest,266.0207417348161,329.8708464524065,0.38214527094213274
Holt-Winters,284.7103160650413,377.23142484077766,0.43697490587653903
Seasonal Naive 28,379.76190476190476,491.70041525057155,0.5695729610828384
Seasonal Naive 7,457.6547619047619,589.6052147603536,0.682771134846838
Naive,1438.6547619047622,1588.9909685318726,1.841493965662399
